contrast,dissimilarity,homogeneity,energy,correlation,entropy,asm
[0.0],[0.0],[1.0],[0.06851931693018287],[42891633404.93749],[3.7256701773958936],[0.06851931693018287]
[0.0],[0.0],[1.0],[0.014693955817348555],[161540080644.32642],[4.92281110412358],[0.014693955817348555]
[0.0],[0.0],[1.0],[0.022676129284959726],[102350944569.7425],[4.465712234437291],[0.022676129284959726]
[0.0],[0.0],[1.0],[0.02394004486898986],[116761557556.54042],[4.374295797382612],[0.02394004486898986]
[0.0],[0.0],[1.0],[0.11129992464322308],[24076884993.692436],[3.735385038729233],[0.11129992464322308]
[0.0],[0.0],[1.0],[0.07415583316985472],[36027489571.30127],[3.4620706702431097],[0.07415583316985472]
[0.0],[0.0],[1.0],[0.012661440906056157],[187864842873.98596],[4.9781139461379675],[0.012661440906056157]
[0.0],[0.0],[1.0],[0.02123149535973206],[115566940086.45021],[4.720711427665458],[0.02123149535973206]
[0.0],[0.0],[1.0],[0.08619681262376015],[33524978452.745407],[3.741276692403548],[0.08619681262376015]
[0.0],[0.0],[1.0],[0.03050467509741917],[81529884778.46797],[4.529713097000092],[0.03050467509741917]
[0.0],[0.0],[1.0],[0.08500404350203489],[30022850094.54384],[3.8242531148742662],[0.08500404350203489]
[0.0],[0.0],[1.0],[0.03249351084597553],[90664571627.63835],[4.214340471576975],[0.03249351084597553]
[0.0],[0.0],[1.0],[0.011746629653330834],[157255919285.9931],[4.991143144544277],[0.011746629653330834]
[0.0],[0.0],[1.0],[0.010181626024551624],[209981231218.11063],[5.087660665054034],[0.010181626024551624]
[0.0],[0.0],[1.0],[0.08978992686248907],[26913477250.588684],[3.881351825107634],[0.08978992686248907]
[0.0],[0.0],[0.9999999999999999],[0.015755717599993578],[113996710587.1955],[5.018560315346842],[0.015755717599993578]
[0.0],[0.0],[1.0],[0.10203648149447675],[26174004392.61109],[3.802270777544148],[0.10203648149447675]
[0.0],[0.0],[1.0],[0.05679398949434253],[46935686814.63443],[4.318324847764927],[0.05679398949434253]
[0.0],[0.0],[1.0],[0.09312078598442064],[25675873693.290676],[3.917455350367861],[0.09312078598442064]
[0.0],[0.0],[1.0],[0.027221500232601566],[90352996480.69255],[4.666086126250421],[0.027221500232601566]
[0.0],[0.0],[0.9999999999999999],[0.04638740794931812],[40627959398.824776],[4.221152594040352],[0.04638740794931812]
[0.0],[0.0],[1.0],[0.058560585958951666],[42297749780.39463],[4.241505112430333],[0.058560585958951666]
[0.0],[0.0],[0.9999999999999999],[0.05502110269826613],[48181215912.25333],[4.197743413080216],[0.05502110269826613]
[0.0],[0.0],[1.0],[0.06651464684533555],[37406534267.52179],[4.024272915867584],[0.06651464684533555]
[0.0],[0.0],[1.0],[0.037181268055237776],[65607488986.37238],[4.3065513893018075],[0.037181268055237776]
[0.0],[0.0],[1.0],[0.06690451433049353],[40346826028.235855],[4.152349297519955],[0.06690451433049353]
[0.0],[0.0],[1.0],[0.08970730783140284],[28628614824.964973],[3.7143243950291343],[0.08970730783140284]
[0.0],[0.0],[1.0],[0.14920350621232153],[17347838896.733013],[3.330858631701707],[0.14920350621232153]
[0.0],[0.0],[1.0],[0.011059536801645242],[156375266499.34622],[5.184078497014063],[0.011059536801645242]
[0.0],[0.0],[0.9999999999999999],[0.02582727821589649],[91072044608.30624],[4.755285873590598],[0.02582727821589649]
[0.0],[0.0],[1.0],[0.01620115861598346],[117751485525.40445],[5.05510597132967],[0.01620115861598346]
[0.0],[0.0],[1.0],[0.01442657929021898],[117470231524.52005],[5.140221720197955],[0.01442657929021898]
[0.0],[0.0],[1.0],[0.05900499615391545],[48993925834.98623],[4.1911757453025755],[0.05900499615391545]
[0.0],[0.0],[1.0],[0.10548039941701413],[23442039243.76612],[3.5809404914331013],[0.10548039941701413]
[0.0],[0.0],[1.0],[0.11732149179604952],[22278036615.36698],[3.589210421995357],[0.11732149179604952]
[0.0],[0.0],[1.0],[0.11975337183389526],[22562171734.42328],[3.5597114814196056],[0.11975337183389526]
[0.0],[0.0],[1.0],[0.035427521821867314],[68178609847.08778],[4.632021770199909],[0.035427521821867314]
[0.0],[0.0],[1.0],[0.033821643694160006],[67808932696.09822],[4.706205371366897],[0.033821643694160006]
[0.0],[0.0],[1.0],[0.13443253555388135],[20388276902.806427],[3.597116446803879],[0.13443253555388135]
[0.0],[0.0],[1.0],[0.05185349001897688],[52034664207.5434],[4.281881442935285],[0.05185349001897688]
[0.0],[0.0],[1.0],[0.021464347410148767],[106678886380.532],[4.840746136139032],[0.021464347410148767]
[0.0],[0.0],[1.0],[0.02481499306053825],[101127846853.10727],[4.699957663813378],[0.02481499306053825]
[0.0],[0.0],[1.0],[0.15108319521944708],[14610447080.943573],[3.2693439311704044],[0.15108319521944708]
[0.0],[0.0],[1.0],[0.01820178752976625],[122057245658.2171],[4.914646587607684],[0.01820178752976625]
[0.0],[0.0],[1.0],[0.060298834578895906],[43719435983.16747],[4.348838363761935],[0.060298834578895906]
[0.0],[0.0],[1.0],[0.06493725744018265],[41969625665.56065],[3.926069558660963],[0.06493725744018265]
[0.0],[0.0],[1.0],[0.034470444299211075],[68389500981.593994],[4.606457610412022],[0.034470444299211075]
[0.0],[0.0],[1.0],[0.10634752168699585],[25158949730.726997],[3.655433716870262],[0.10634752168699585]
[0.0],[0.0],[1.0],[0.0896964536596114],[25839907355.00289],[3.7978023446293676],[0.0896964536596114]
[0.0],[0.0],[0.9999999999999999],[0.03841372882404277],[62671798923.992615],[4.457823387265408],[0.03841372882404277]
[0.0],[0.0],[1.0],[0.15088178769500538],[15886376163.63416],[3.253068549283449],[0.15088178769500538]
[0.0],[0.0],[0.9999999999999999],[0.1233116665031615],[21297924617.490677],[3.584845697655898],[0.1233116665031615]
[0.0],[0.0],[1.0],[0.03321453745693452],[76338705435.74124],[4.470537115872225],[0.03321453745693452]
[0.0],[0.0],[1.0],[0.13780233466576813],[16261479741.810898],[3.251971712863095],[0.13780233466576813]
[0.0],[0.0],[1.0],[0.013699345235073563],[164472565783.14062],[4.772128365927054],[0.013699345235073563]
[0.0],[0.0],[1.0],[0.12812456997641947],[20047965756.0505],[3.428219143513793],[0.12812456997641947]
[0.0],[0.0],[0.9999999999999999],[0.05016539617033561],[48402134842.17227],[4.272827576889927],[0.05016539617033561]
[0.0],[0.0],[1.0],[0.14810706769026455],[17172002312.525536],[3.1029262220030716],[0.14810706769026455]
[0.0],[0.0],[1.0],[0.019715717371058428],[123101788430.51143],[4.8915906288115565],[0.019715717371058428]
[0.0],[0.0],[1.0],[0.025522856789803396],[82605397587.23972],[4.8265017949914695],[0.025522856789803396]
[0.0],[0.0],[1.0],[0.018093569603863262],[126462605804.0589],[4.868111626501318],[0.018093569603863262]
[0.0],[0.0],[1.0],[0.05326918230834886],[45492285634.260605],[4.117053105269422],[0.05326918230834886]
[0.0],[0.0],[1.0],[0.04830784253825258],[47369792309.395584],[4.285932749606595],[0.04830784253825258]
[0.0],[0.0],[0.9999999999999999],[0.2000815212146211],[14454284859.655592],[2.440016679416484],[0.2000815212146211]
[0.0],[0.0],[1.0],[0.03705087826968389],[38618138284.709946],[4.810944496290911],[0.03705087826968389]
[0.0],[0.0],[1.0],[0.12379509511184944],[23316652616.497242],[3.779550255060511],[0.12379509511184944]
[0.0],[0.0],[1.0],[0.05155006871572071],[61653438680.43986],[3.891276568971037],[0.05155006871572071]
[0.0],[0.0],[1.0],[0.005187798323107157],[220581320309.02347],[5.373920926284791],[0.005187798323107157]
[0.0],[0.0],[1.0],[0.14298729001666027],[22679091351.053257],[3.600900773726576],[0.14298729001666027]
[0.0],[0.0],[1.0],[0.06888084113822888],[42755260239.632805],[4.22269376814158],[0.06888084113822888]
[0.0],[0.0],[1.0],[0.005472747925266416],[320515749093.6009],[5.335006421226609],[0.005472747925266416]
[0.0],[0.0],[1.0],[0.1705673653312244],[18365623185.064613],[3.5920618577223022],[0.1705673653312244]
[0.0],[0.0],[1.0],[0.04023701316344613],[69905427785.38724],[4.6019794334313975],[0.04023701316344613]
[0.0],[0.0],[1.0],[0.02509703982674347],[111303808009.8058],[4.745729438133969],[0.02509703982674347]
[0.0],[0.0],[1.0],[0.09651218147968178],[34634704714.1188],[3.768535022472747],[0.09651218147968178]
[0.0],[0.0],[1.0],[0.06319086573501964],[50793634332.59793],[4.177484915156448],[0.06319086573501964]
[0.0],[0.0],[1.0],[0.11056642353471952],[29808487661.387585],[3.806111479231064],[0.11056642353471952]
[0.0],[0.0],[1.0],[0.006552366019327234],[311843557058.26135],[5.201447070339958],[0.006552366019327234]
[0.0],[0.0],[1.0],[0.03758097936413141],[73007687463.14919],[4.6529430595248975],[0.03758097936413141]
[0.0],[0.0],[1.0],[0.01808432488492456],[121431532747.58614],[5.124301728901282],[0.01808432488492456]
[0.0],[0.0],[1.0000000000000002],[0.00676315221016963],[239795448725.0395],[5.221796474138805],[0.00676315221016963]
[0.0],[0.0],[1.0],[0.028997234676516857],[90722585110.05463],[4.804262604081164],[0.028997234676516857]
[0.0],[0.0],[1.0],[0.2156697381347715],[16535024665.502464],[3.220635684952064],[0.2156697381347715]
[0.0],[0.0],[1.0],[0.009610777154203314],[183555586750.9129],[4.858141245555028],[0.009610777154203314]
[0.0],[0.0],[0.9999999999999999],[0.06543453514883078],[42427544615.13975],[4.446448062309828],[0.06543453514883078]
[0.0],[0.0],[1.0],[0.005405893268039717],[306063105981.1476],[5.372756298812908],[0.005405893268039717]
[0.0],[0.0],[1.0],[0.06741867743766748],[52244400964.733795],[3.727326182430876],[0.06741867743766748]
[0.0],[0.0],[1.0],[0.012012833171260517],[245847992377.44507],[4.776402977729401],[0.012012833171260517]
[0.0],[0.0],[1.0],[0.035620240266500694],[76955674217.14412],[4.647827777604684],[0.035620240266500694]
[0.0],[0.0],[1.0],[0.07029821954970811],[42041869040.55213],[4.199482553463026],[0.07029821954970811]
[0.0],[0.0],[1.0],[0.0055046691396669276],[319014528602.1812],[5.331238976954812],[0.0055046691396669276]
[0.0],[0.0],[0.9999999999999999],[0.1900898533393686],[17756641303.067226],[3.274023273155241],[0.1900898533393686]
[0.0],[0.0],[1.0],[0.08665428189902534],[35363150546.16756],[4.104959729574931],[0.08665428189902534]
[0.0],[0.0],[1.0],[0.054105603230428435],[52312537522.850266],[4.390499381795971],[0.054105603230428435]
[0.0],[0.0],[1.0],[0.004767821038371242],[314650421200.6841],[5.4342468169685345],[0.004767821038371242]
[0.0],[0.0],[0.9999999999999999],[0.12085738424518697],[27815011357.825577],[3.7018058370807445],[0.12085738424518697]
[0.0],[0.0],[1.0],[0.043108259722796985],[65409915083.30393],[4.469595410413377],[0.043108259722796985]
[0.0],[0.0],[1.0],[0.09315574058488031],[32804817680.279648],[3.9625463022186818],[0.09315574058488031]
[0.0],[0.0],[1.0],[0.035416065054568],[78705925965.70352],[4.696466488613563],[0.035416065054568]
[0.0],[0.0],[1.0],[0.06477625153577955],[46039328294.47432],[4.326836049147442],[0.06477625153577955]
[0.0],[0.0],[1.0],[0.16487028849453225],[19784569761.956264],[3.48348559632627],[0.16487028849453225]
[0.0],[0.0],[1.0],[0.02599540822410595],[103566633814.80237],[4.8267369651042085],[0.02599540822410595]
[0.0],[0.0],[1.0],[0.06169570385192901],[54908180388.76416],[3.7839716385698776],[0.06169570385192901]
[0.0],[0.0],[1.0],[0.03393415297628672],[83845668937.44986],[4.679707478728727],[0.03393415297628672]
[0.0],[0.0],[1.0],[0.005446593936766452],[303875733222.4809],[5.368699461436482],[0.005446593936766452]
[0.0],[0.0],[1.0],[0.19373570077672922],[16434792114.182358],[3.386511601673338],[0.19373570077672922]
[0.0],[0.0],[1.0],[0.041248649663957165],[67105981318.05734],[4.465622689600611],[0.041248649663957165]
[0.0],[0.0],[1.0],[0.012163924406659221],[243633884999.64566],[4.762684216278753],[0.012163924406659221]
[0.0],[0.0],[0.9999999999999999],[0.11795556271675163],[25850561988.05161],[3.571916089800667],[0.11795556271675163]
[0.0],[0.0],[1.0],[0.03463169683631853],[72339611233.2281],[4.550214063558224],[0.03463169683631853]
[0.0],[0.0],[1.0],[0.039880267777411216],[69728769684.39897],[4.329807694811928],[0.039880267777411216]
[0.0],[0.0],[1.0],[0.039487270331387055],[66851441947.32888],[4.3474360710013915],[0.039487270331387055]
[0.0],[0.0],[1.0],[0.03556685845542326],[74219238165.29541],[4.646356668064044],[0.03556685845542326]
[0.0],[0.0],[1.0],[0.10288241730400553],[28332228173.228966],[3.9355007253534406],[0.10288241730400553]
[0.0],[0.0],[1.0],[0.035023302816954906],[70859024871.17078],[4.653713082339454],[0.035023302816954906]
[0.0],[0.0],[1.0],[0.033136472154761024],[74241552457.51385],[4.6212986828562865],[0.033136472154761024]
[0.0],[0.0],[1.0],[0.16645582068963619],[18371625938.517235],[3.2659423631092865],[0.16645582068963619]
[0.0],[0.0],[1.0],[0.051478194877450256],[50490798900.04848],[4.2637077233612475],[0.051478194877450256]
[0.0],[0.0],[1.0],[0.035204246235356146],[73861949115.16711],[4.521642025885325],[0.035204246235356146]
[0.0],[0.0],[0.9999999999999999],[0.04559577250139847],[58661870365.384224],[4.430298271154475],[0.04559577250139847]
[0.0],[0.0],[1.0],[0.07562474255600596],[40956407523.09031],[3.8431454828588496],[0.07562474255600596]
[0.0],[0.0],[1.0],[0.04573838873743728],[52837542132.59001],[4.384753724466828],[0.04573838873743728]
[0.0],[0.0],[1.0],[0.01855192040887066],[164030778009.46976],[4.378871293344659],[0.01855192040887066]
[0.0],[0.0],[1.0],[0.007881682389818151],[199323323088.5119],[5.154495167619872],[0.007881682389818151]
[0.0],[0.0],[1.0],[0.06880340190491337],[41051016329.04948],[4.07068178269337],[0.06880340190491337]
[0.0],[0.0],[1.0],[0.014963587880235694],[105500600550.07358],[4.7385192069975295],[0.014963587880235694]
[0.0],[0.0],[1.0],[0.11315638698082386],[23600758921.903343],[3.701635635032064],[0.11315638698082386]
[0.0],[0.0],[1.0],[0.02920896751817487],[88956923616.4072],[4.595545740667056],[0.02920896751817487]
[0.0],[0.0],[1.0],[0.16807160522318013],[19691664879.027023],[3.5225557273830663],[0.16807160522318013]
[0.0],[0.0],[1.0],[0.051432508058415385],[56928572085.957886],[4.41711180652139],[0.051432508058415385]
[0.0],[0.0],[1.0],[0.050740277284968216],[57508018799.57104],[4.306899757022578],[0.050740277284968216]
[0.0],[0.0],[1.0],[0.006694738875171467],[330527837755.1008],[5.2486125524217435],[0.006694738875171467]
[0.0],[0.0],[1.0],[0.04977529620420716],[58573361231.872925],[4.489796956668167],[0.04977529620420716]
[0.0],[0.0],[1.0],[0.17685428474590412],[17646401026.46768],[3.6579273426965293],[0.17685428474590412]
[0.0],[0.0],[1.0],[0.06862226444710487],[43407788478.04055],[4.270344453120216],[0.06862226444710487]
[0.0],[0.0],[0.9999999999999999],[0.21110440003619071],[16105289947.964542],[3.257397233059846],[0.21110440003619071]
[0.0],[0.0],[1.0],[0.1545965389165106],[23162634460.78359],[3.423472553488047],[0.1545965389165106]
[0.0],[0.0],[1.0],[0.043108259722796985],[65409915083.30393],[4.469595410413377],[0.043108259722796985]
[0.0],[0.0],[1.0],[0.007882179935890512],[313588089852.7966],[5.0927878548215695],[0.007882179935890512]
[0.0],[0.0],[1.0],[0.0639791253094319],[58403201075.21545],[3.30279277651508],[0.0639791253094319]
[0.0],[0.0],[0.9999999999999999],[0.12554940598829326],[27390508651.67556],[3.7450278520423437],[0.12554940598829326]
[0.0],[0.0],[1.0],[0.06968709071854584],[43527633643.01586],[4.223838057154753],[0.06968709071854584]
[0.0],[0.0],[1.0],[0.018126182836464704],[176588281100.37653],[4.377327600678217],[0.018126182836464704]
[0.0],[0.0],[1.0],[0.030218814352038485],[102602278292.00856],[4.5351591545962116],[0.030218814352038485]
[0.0],[0.0],[0.9999999999999999],[0.04163944803434525],[67548371734.806564],[4.561901024537228],[0.04163944803434525]
[0.0],[0.0],[1.0],[0.043417065861468804],[66148255063.74058],[4.619491092398143],[0.043417065861468804]
[0.0],[0.0],[1.0],[0.07076477889759401],[44247414004.045425],[3.992334105714359],[0.07076477889759401]
[0.0],[0.0],[1.0],[0.05167791395702744],[41783425931.571884],[4.124855084827191],[0.05167791395702744]
[0.0],[0.0],[0.9999999999999999],[0.0160982307411158],[129389217326.2173],[4.855807753009332],[0.0160982307411158]
[0.0],[0.0],[1.0000000000000002],[0.018152154064319755],[99135242297.80348],[5.0227458238794425],[0.018152154064319755]
[0.0],[0.0],[1.0],[0.0203048403369036],[102037523211.13165],[4.553724036680331],[0.0203048403369036]
[0.0],[0.0],[0.9999999999999999],[0.01600398442475987],[124557132527.53647],[4.810262112307623],[0.01600398442475987]
[0.0],[0.0],[1.0],[0.009604328044857533],[197869174027.17032],[5.141980330600914],[0.009604328044857533]
[0.0],[0.0],[1.0],[0.013618804693502327],[166355938502.43182],[4.834929697588464],[0.013618804693502327]
[0.0],[0.0],[1.0],[0.021098220414286877],[100038274763.01312],[4.888796144190985],[0.021098220414286877]
[0.0],[0.0],[1.0],[0.019735026118668075],[100995094660.34949],[4.791782475741629],[0.019735026118668075]
[0.0],[0.0],[0.9999999999999999],[0.008130091488557855],[235270089035.40796],[5.2032528750362115],[0.008130091488557855]
[0.0],[0.0],[1.0],[0.01595321719558094],[125388036715.13177],[5.006923772454385],[0.01595321719558094]
[0.0],[0.0],[1.0],[0.011452655726518449],[155653259322.53046],[5.15935941658931],[0.011452655726518449]
[0.0],[0.0],[1.0000000000000002],[0.010536869795881235],[191886881282.02756],[5.088116191275935],[0.010536869795881235]
[0.0],[0.0],[1.0],[0.013853087097252642],[145459444511.55222],[4.910497235677399],[0.013853087097252642]
[0.0],[0.0],[1.0],[0.020751594203074125],[108784576527.56325],[4.706052617747276],[0.020751594203074125]
[0.0],[0.0],[1.0],[0.013363925986548893],[147546621354.51505],[5.014970689668656],[0.013363925986548893]
[0.0],[0.0],[1.0],[0.020474223423511177],[101907143560.3375],[4.757288630275267],[0.020474223423511177]
[0.0],[0.0],[1.0],[0.01454687751713338],[137298784238.98145],[5.058792759351877],[0.01454687751713338]
[0.0],[0.0],[1.0],[0.008466252008409638],[225818945191.22906],[5.199974340865149],[0.008466252008409638]
[0.0],[0.0],[1.0],[0.011922759269131833],[189646557164.0484],[5.034903133636016],[0.011922759269131833]
[0.0],[0.0],[1.0],[0.026260991967296],[75405086388.0006],[4.69566887244278],[0.026260991967296]
[0.0],[0.0],[1.0],[0.02937342395592473],[80719667108.2533],[4.7131365748858],[0.02937342395592473]
[0.0],[0.0],[1.0],[0.009654105290707236],[206055373418.6103],[5.076525321889472],[0.009654105290707236]
[0.0],[0.0],[1.0],[0.014126289040670509],[127407966058.16891],[5.068330364570413],[0.014126289040670509]
[0.0],[0.0],[0.9999999999999999],[0.007724413394416639],[246081612845.9068],[5.154286605258045],[0.007724413394416639]
[0.0],[0.0],[1.0],[0.018958214047350076],[115152049273.29532],[4.75938888860664],[0.018958214047350076]
[0.0],[0.0],[1.0],[0.006959483000524005],[225199336357.4206],[5.249024750191528],[0.006959483000524005]
[0.0],[0.0],[1.0],[0.008377152677827415],[161855691870.26947],[5.216368151875845],[0.008377152677827415]
[0.0],[0.0],[1.0],[0.015959816196900505],[130165575771.70041],[4.910527732981883],[0.015959816196900505]
[0.0],[0.0],[1.0],[0.018430493678811596],[109974232355.42116],[4.499650627291633],[0.018430493678811596]
[0.0],[0.0],[0.9999999999999999],[0.01766904169723787],[115058287188.59236],[4.65520849472794],[0.01766904169723787]
[0.0],[0.0],[1.0],[0.011091530051483021],[194415536390.63],[5.033165087733707],[0.011091530051483021]
[0.0],[0.0],[0.9999999999999999],[0.01316131318097666],[137281072222.8728],[4.860240494196185],[0.01316131318097666]
[0.0],[0.0],[1.0],[0.009569396873581538],[190495852250.28882],[5.168907808495212],[0.009569396873581538]
[0.0],[0.0],[1.0],[0.017839008094470817],[100197057235.69028],[4.92422639398664],[0.017839008094470817]
[0.0],[0.0],[0.9999999999999999],[0.0236215874871588],[91387584404.25037],[4.505270670950749],[0.0236215874871588]
[0.0],[0.0],[1.0],[0.019331023165859794],[98643510572.24835],[4.771205050616482],[0.019331023165859794]
[0.0],[0.0],[1.0],[0.011934207137963669],[153965768177.34006],[5.06358555960848],[0.011934207137963669]
[0.0],[0.0],[1.0],[0.015320327890055524],[132508487216.09741],[5.013582096978969],[0.015320327890055524]
[0.0],[0.0],[1.0],[0.03154689513210362],[65501740350.26878],[4.6457375310722275],[0.03154689513210362]
[0.0],[0.0],[1.0],[0.018155910044936354],[103896390773.8121],[4.854758210462144],[0.018155910044936354]
[0.0],[0.0],[1.0],[0.013157208109360193],[137092573884.58997],[5.044324975945749],[0.013157208109360193]
[0.0],[0.0],[1.0],[0.013489550809153723],[154020887740.81482],[4.964110811734356],[0.013489550809153723]
[0.0],[0.0],[1.0],[0.01546948533700513],[121128985497.68103],[4.8194663201504335],[0.01546948533700513]
[0.0],[0.0],[0.9999999999999999],[0.012525827683974606],[170681521052.52997],[4.922359321118661],[0.012525827683974606]
[0.0],[0.0],[1.0],[0.008331615551313346],[161011066814.1103],[5.2352434158528585],[0.008331615551313346]
[0.0],[0.0],[1.0],[0.007896250807365092],[190410393848.07202],[5.227045831186831],[0.007896250807365092]
[0.0],[0.0],[1.0],[0.02342888117910933],[89148743868.18845],[4.775366363497049],[0.02342888117910933]
[0.0],[0.0],[1.0],[0.013839141534693985],[141534404614.16922],[4.931128590728346],[0.013839141534693985]
[0.0],[0.0],[1.0],[0.01315022084735824],[128378486234.65848],[5.024439581624723],[0.01315022084735824]
[0.0],[0.0],[1.0],[0.017004137558722536],[116802654297.38464],[4.89054002441836],[0.017004137558722536]
[0.0],[0.0],[0.9999999999999999],[0.014062936328926396],[128822943879.45389],[5.067408549086733],[0.014062936328926396]
[0.0],[0.0],[1.0],[0.012255717650746727],[141169994524.57788],[5.116895922736784],[0.012255717650746727]
[0.0],[0.0],[1.0],[0.01037997103237663],[163373228449.06183],[5.177701481555328],[0.01037997103237663]
[0.0],[0.0],[0.9999999999999999],[0.014178552917470125],[145723280801.54492],[4.9564355944444785],[0.014178552917470125]
[0.0],[0.0],[1.0],[0.016006273996064874],[130177485362.98541],[4.784837592078215],[0.016006273996064874]
[0.0],[0.0],[1.0],[0.01572500488657659],[118190371759.37276],[4.997144281695537],[0.01572500488657659]
[0.0],[0.0],[1.0],[0.02373894178193016],[88125463528.80109],[4.503687994798613],[0.02373894178193016]
[0.0],[0.0],[1.0],[0.015493623499990247],[125428955632.19653],[4.860558239680338],[0.015493623499990247]
[0.0],[0.0],[0.9999999999999999],[0.01172996886141116],[143024253459.2401],[5.017481808613162],[0.01172996886141116]
[0.0],[0.0],[1.0],[0.016037608722556516],[119217912766.8129],[4.925093808444785],[0.016037608722556516]
[0.0],[0.0],[0.9999999999999999],[0.035545106856887665],[55504765768.34645],[4.58225153413868],[0.035545106856887665]
[0.0],[0.0],[1.0],[0.017139790657426133],[110591733226.42348],[4.816474799059401],[0.017139790657426133]
[0.0],[0.0],[0.9999999999999999],[0.020334407780701974],[85764653272.24252],[4.865033469355292],[0.020334407780701974]
[0.0],[0.0],[1.0],[0.01660525780312983],[128170956086.69418],[4.9946681332172655],[0.01660525780312983]
[0.0],[0.0],[1.0],[0.015519758252544256],[116697435818.61584],[4.857931679257333],[0.015519758252544256]
[0.0],[0.0],[1.0],[0.015710248689043443],[95082194752.13824],[4.815871367711839],[0.015710248689043443]
[0.0],[0.0],[1.0],[0.023035190118258372],[92901333393.38438],[4.845856712728828],[0.023035190118258372]
[0.0],[0.0],[1.0],[0.009689403503447816],[160184759964.0468],[5.163073061266076],[0.009689403503447816]
[0.0],[0.0],[1.0],[0.01141559261746113],[148069868606.7173],[5.110352632456091],[0.01141559261746113]
[0.0],[0.0],[1.0],[0.02604894495695662],[83643730410.01128],[4.66627367791798],[0.02604894495695662]
[0.0],[0.0],[1.0],[0.020551482698284503],[104535795190.47849],[4.5489028349066345],[0.020551482698284503]
[0.0],[0.0],[1.0],[0.013720368328075489],[144381112378.98422],[4.97172385012256],[0.013720368328075489]
[0.0],[0.0],[1.0],[0.015893187635403982],[126516646544.59552],[4.91149294106754],[0.015893187635403982]
[0.0],[0.0],[1.0000000000000002],[0.012619015210694261],[124094869035.11942],[5.077342319994832],[0.012619015210694261]
[0.0],[0.0],[1.0],[0.018024156279047368],[102765529674.91675],[4.881807656154407],[0.018024156279047368]
[0.0],[0.0],[1.0],[0.015441118515927117],[137430355339.60568],[4.792924182928848],[0.015441118515927117]
[0.0],[0.0],[0.9999999999999999],[0.0165073060435493],[116862659068.04617],[4.867123335004257],[0.0165073060435493]
[0.0],[0.0],[0.9999999999999998],[0.012230542002618885],[154044971258.10553],[5.090566521124962],[0.012230542002618885]
[0.0],[0.0],[1.0],[0.018720636144086325],[121848566546.27472],[4.6702082931464854],[0.018720636144086325]
[0.0],[0.0],[1.0],[0.019027051650816633],[122624817185.9863],[4.630077294734261],[0.019027051650816633]
[0.0],[0.0],[0.9999999999999999],[0.017781045170871028],[99447866865.32884],[4.92729410505602],[0.017781045170871028]
[0.0],[0.0],[1.0],[0.009568770187466526],[144871822585.2024],[5.198022823178659],[0.009568770187466526]
[0.0],[0.0],[1.0],[0.011620758431949913],[164174743376.74866],[5.0387020736467],[0.011620758431949913]
[0.0],[0.0],[1.0],[0.011448504082216641],[149578120909.21844],[5.022553816358574],[0.011448504082216641]
[0.0],[0.0],[1.0],[0.014037777764767223],[135920020440.96074],[5.049239401673772],[0.014037777764767223]
[0.0],[0.0],[1.0],[0.02629748398261282],[69025014410.14865],[4.72326011343819],[0.02629748398261282]
[0.0],[0.0],[1.0],[0.038198373972479695],[48380699919.98848],[4.482196040390349],[0.038198373972479695]
[0.0],[0.0],[1.0],[0.014314850831047301],[117065906516.15616],[4.974787745017016],[0.014314850831047301]
[0.0],[0.0],[0.9999999999999999],[0.021719885828702722],[89489825751.33664],[4.882655292931579],[0.021719885828702722]
[0.0],[0.0],[1.0],[0.013452915867505237],[152637523902.24295],[4.9787393638400825],[0.013452915867505237]
[0.0],[0.0],[1.0],[0.010722151381737608],[175857518766.38678],[5.096915000348199],[0.010722151381737608]
[0.0],[0.0],[0.9999999999999999],[0.023396318937442324],[83225596598.38774],[4.687423762383055],[0.023396318937442324]
[0.0],[0.0],[1.0],[0.00799888738804536],[184204181321.09225],[5.228887641813698],[0.00799888738804536]
[0.0],[0.0],[1.0],[0.0199767965944384],[109278619139.02966],[4.562101087432861],[0.0199767965944384]
[0.0],[0.0],[1.0],[0.019424784110768093],[99862132266.9867],[4.859626130254739],[0.019424784110768093]
[0.0],[0.0],[1.0],[0.009246068568809754],[198435866883.36276],[5.191815552264816],[0.009246068568809754]
[0.0],[0.0],[1.0000000000000002],[0.02045363460975986],[71585528774.9397],[4.938967065755472],[0.02045363460975986]
[0.0],[0.0],[1.0],[0.009653513450850523],[189332317708.91522],[5.14601453666484],[0.009653513450850523]
[0.0],[0.0],[1.0],[0.018398282221162715],[95106799354.22244],[4.979689574371191],[0.018398282221162715]
[0.0],[0.0],[1.0],[0.013572625357149003],[150861362720.0501],[5.0314224245061645],[0.013572625357149003]
[0.0],[0.0],[1.0],[0.011744992159518648],[171887546605.25797],[4.994364371404],[0.011744992159518648]
[0.0],[0.0],[1.0],[0.00957923017307763],[200349251322.65314],[5.135650792900145],[0.00957923017307763]
[0.0],[0.0],[1.0],[0.015577155230145058],[114074570252.47186],[4.816845602093216],[0.015577155230145058]
[0.0],[0.0],[1.0],[0.014362263516020504],[127197940258.99017],[4.938015973589499],[0.014362263516020504]
[0.0],[0.0],[1.0],[0.018793826760225],[106120655907.10916],[4.766190364862537],[0.018793826760225]
[0.0],[0.0],[1.0],[0.015188639431955447],[136352128733.79948],[5.019503677445029],[0.015188639431955447]
