contrast,dissimilarity,homogeneity,energy,correlation,entropy,asm
[0.0],[0.0],[1.0],[0.025557781965337027],[57749160787.02453],[4.864660672380356],[0.025557781965337027]
[0.0],[0.0],[1.0],[0.016115217030594924],[104517947518.38632],[5.067472123345879],[0.016115217030594924]
[0.0],[0.0],[1.0],[0.03190560108356506],[50462320700.81303],[4.821098712021224],[0.03190560108356506]
[0.0],[0.0],[0.9999999999999999],[0.011739502162062251],[132195086298.78726],[5.125655515769734],[0.011739502162062251]
[0.0],[0.0],[1.0],[0.013588770486275697],[120143438595.99841],[5.078225464318637],[0.013588770486275697]
[0.0],[0.0],[1.0],[0.027888061801558624],[86915034389.1551],[4.7235017942051964],[0.027888061801558624]
[0.0],[0.0],[1.0],[0.02365155758388642],[86663088301.02124],[4.835792117513128],[0.02365155758388642]
[0.0],[0.0],[1.0],[0.014824174340182798],[109332095070.8577],[4.979414381628708],[0.014824174340182798]
[0.0],[0.0],[0.9999999999999998],[0.020580751382025402],[86117194159.20326],[4.957381712319835],[0.020580751382025402]
[0.0],[0.0],[1.0],[0.02130088060093409],[81129707763.46512],[5.043991809650284],[0.02130088060093409]
[0.0],[0.0],[0.9999999999999999],[0.020911774860257814],[69437857758.26245],[4.945914204155418],[0.020911774860257814]
[0.0],[0.0],[1.0],[0.03734891200995068],[36552828421.61993],[4.628156527652137],[0.03734891200995068]
[0.0],[0.0],[1.0],[0.03598078897631282],[50897255664.83118],[4.768788876888156],[0.03598078897631282]
[0.0],[0.0],[1.0],[0.03762558249429813],[38709909958.886765],[4.649230729579106],[0.03762558249429813]
[0.0],[0.0],[1.0],[0.013711944825110178],[185219393464.20135],[4.771491024510867],[0.013711944825110178]
[0.0],[0.0],[1.0],[0.017748077781892545],[143441124892.85574],[4.5793189046820375],[0.017748077781892545]
[0.0],[0.0],[1.0],[0.02325361808390509],[99252703890.80424],[4.6972392118289195],[0.02325361808390509]
[0.0],[0.0],[1.0],[0.01458644550891806],[149785770970.99927],[4.846835150672498],[0.01458644550891806]
[0.0],[0.0],[1.0],[0.025737809214454913],[57064993462.427185],[4.8634247256453405],[0.025737809214454913]
[0.0],[0.0],[1.0],[0.017942482498752722],[89778708763.77188],[5.046909938847126],[0.017942482498752722]
[0.0],[0.0],[1.0],[0.008998728904617462],[177449792096.8519],[5.1957926930191425],[0.008998728904617462]
[0.0],[0.0],[1.0],[0.026274794229669832],[79856719583.77571],[4.828026611965905],[0.026274794229669832]
[0.0],[0.0],[1.0],[0.008265743171797037],[191928633813.9743],[5.273074076201142],[0.008265743171797037]
[0.0],[0.0],[0.9999999999999998],[0.02019339523338463],[72186620971.07173],[4.8929644013745355],[0.02019339523338463]
[0.0],[0.0],[1.0],[0.015945914257450514],[95091694045.29054],[5.048259593625227],[0.015945914257450514]
[0.0],[0.0],[1.0],[0.01588347130032858],[107962945046.10919],[5.039847821431115],[0.01588347130032858]
[0.0],[0.0],[0.9999999999999999],[0.012998841919811186],[106213091010.13446],[5.027375432580852],[0.012998841919811186]
[0.0],[0.0],[1.0],[0.01150388372014549],[138931632264.5769],[5.124585392783551],[0.01150388372014549]
[0.0],[0.0],[1.0],[0.022469137604944945],[95793388277.80435],[4.897333226135739],[0.022469137604944945]
[0.0],[0.0],[1.0],[0.026080186285129155],[51719811735.31496],[4.7729913807476025],[0.026080186285129155]
[0.0],[0.0],[1.0],[0.014955445992511023],[81265681821.32466],[4.931408194247164],[0.014955445992511023]
[0.0],[0.0],[1.0],[0.032826057295444924],[54351936114.86104],[4.789871870939495],[0.032826057295444924]
[0.0],[0.0],[0.9999999999999999],[0.025801880536686375],[79118389046.5459],[4.857283349153311],[0.025801880536686375]
[0.0],[0.0],[1.0],[0.02379481259950289],[87753297542.59827],[4.841487122438801],[0.02379481259950289]
[0.0],[0.0],[1.0],[0.012759456919224543],[146232399753.0279],[5.112569057156038],[0.012759456919224543]
[0.0],[0.0],[1.0],[0.014136724620171723],[114280962151.92865],[4.9934113995467415],[0.014136724620171723]
[0.0],[0.0],[0.9999999999999999],[0.01330364197646118],[97580329089.34784],[5.087865583694282],[0.01330364197646118]
[0.0],[0.0],[0.9999999999999999],[0.037778405304103424],[53310647082.38835],[4.738873062432267],[0.037778405304103424]
[0.0],[0.0],[1.0],[0.02048067269426775],[99244754071.13676],[4.973598128981293],[0.02048067269426775]
[0.0],[0.0],[1.0],[0.024591330912937456],[87236642403.71078],[4.7878402699304665],[0.024591330912937456]
[0.0],[0.0],[1.0],[0.042138627292921275],[36672184939.445984],[4.62793517360194],[0.042138627292921275]
[0.0],[0.0],[1.0],[0.009452677455507139],[180550210274.49362],[5.169764552308983],[0.009452677455507139]
[0.0],[0.0],[1.0],[0.04085509977846888],[41943547170.9206],[4.657225278444318],[0.04085509977846888]
[0.0],[0.0],[1.0],[0.01079797996648489],[162195292991.2229],[5.152603833147608],[0.01079797996648489]
[0.0],[0.0],[1.0],[0.024106603358808387],[68698483956.81758],[4.883079089873231],[0.024106603358808387]
[0.0],[0.0],[1.0],[0.019121813904466642],[89453246470.71811],[5.04549214838767],[0.019121813904466642]
[0.0],[0.0],[0.9999999999999999],[0.00832357838568951],[205156476655.94055],[5.210203292250066],[0.00832357838568951]
