contrast,dissimilarity,homogeneity,energy,correlation,asm
505.21114093959727,6.205503355704699,0.5545767001807083,0.3286829186317038,0.9722185293530634,0.10803246100025521
427.68778523489937,5.41324384787472,0.5504602869121169,0.25462850207456283,0.9715547240961393,0.06483567406873564
399.7121700223714,5.3589709172259505,0.48794448365678333,0.2533760475014999,0.9650341956952848,0.06419942144748234
360.5682774049217,4.401118568232662,0.5627961744081357,0.30648138434691,0.9658427186223958,0.0939308389511984
303.4351677852349,5.529843400447428,0.4485990589119856,0.18266873929121014,0.9751292539208584,0.0333678683142401
305.73480984340046,4.918970917225951,0.5534822817477529,0.2716042677845033,0.9762436374400275,0.0737688782787562
467.46917225950773,7.319194630872483,0.4933697173627469,0.2999316703043265,0.9677379203727143,0.08995900685154322
501.9035346756152,7.966085011185682,0.41037311278120625,0.1426447155582963,0.9630320365044417,0.02034751487670726
384.97029082774054,4.3148993288590605,0.6013052032614494,0.2707413643063447,0.967543997796099,0.07330088634646087
433.3971364653244,5.3011185682326625,0.5773360210338718,0.2605279225582222,0.9727435098964962,0.06787479843250303
254.33507829977634,4.265369127516779,0.5348919623411167,0.28095507941234743,0.9803746287886738,0.07893575664759844
220.8152572706935,3.931498881431767,0.5059426032857934,0.10285266953953112,0.9797000524222238,0.010578671631407993
271.453288590604,5.9054586129753925,0.32088163708330586,0.10521270158830448,0.9679559397115217,0.011069712575509608
340.99248322147656,3.6910961968680085,0.6344077005436457,0.31985743994270605,0.9682206828990174,0.10230878188670181
344.63114093959734,3.9692170022371367,0.6462242469464705,0.3864389239777441,0.9728363791547402,0.1493350419650767
469.8093064876958,7.914720357941834,0.3915617181075183,0.198253397729457,0.9606643409188611,0.03930440971127427
384.5592393736018,4.4021923937360175,0.5667244992046454,0.28019086371383317,0.9734431891405537,0.07850692010870383
458.5716331096197,6.4682774049217,0.5010540426972223,0.27692068582584717,0.9704124679428554,0.07668506623825755
392.12671140939597,4.6212975391498885,0.5496754121345395,0.27944111975358193,0.9715414811794217,0.07808733940913573
231.93852348993292,4.839910514541387,0.45138272961354386,0.19220579239094318,0.9837666199224365,0.03694306662863035
404.4278299776286,4.278031319910514,0.605639996211606,0.198681821300138,0.9686882026726598,0.039474466115139974
248.90000000000003,3.1475167785234897,0.6269426910054043,0.21266119219887633,0.9815896321041846,0.04522478266744742
316.7801342281879,6.19400447427293,0.414420430384204,0.18191225611767936,0.9744688071627389,0.033092068925824177
539.6037136465325,7.977583892617449,0.37323287368070424,0.15733693444308514,0.9517516687136166,0.024754910939947673
